10.85;0.10
10.83;0.20
10.83;0.30
10.82;0.40
10.84;0.50
10.83;0.60
10.83;0.70
10.84;0.80
10.83;0.90
10.84;1.00
10.84;1.10
10.83;1.20
10.85;1.30
10.83;1.40
10.82;1.50
10.84;1.60
10.79;1.70
10.83;1.80
10.83;1.90
10.85;2.00
10.84;2.10
10.83;2.20
10.84;2.30
10.82;2.40
10.83;2.50
10.83;2.60
10.83;2.70
10.83;2.80
10.84;2.90
10.83;3.00
10.84;3.10
10.84;3.20
10.83;3.30
10.79;3.40
10.84;3.50
10.84;3.60
10.83;3.70
10.86;3.80
10.82;3.90
10.84;4.00
10.75;4.10
10.85;4.20
10.84;4.30
10.84;4.40
10.84;4.50
10.85;4.60
10.85;4.70
10.84;4.80
10.84;4.90
10.84;5.00
10.85;5.10
10.83;5.20
10.84;5.30
10.84;5.40
10.83;5.50
10.84;5.60
10.84;5.70
10.83;5.80
10.83;5.90
10.82;6.00
10.84;6.10
10.86;6.20
10.84;6.30
10.84;6.40
10.82;6.50
10.83;6.60
10.83;6.70
10.82;6.80
10.81;6.90
10.81;7.00
10.82;7.10
10.83;7.20
10.83;7.30
10.82;7.40
10.82;7.50
10.83;7.60
10.84;7.70
10.82;7.80
10.82;7.90
10.81;8.00
10.82;8.10
10.82;8.20
10.82;8.30
10.83;8.40
10.82;8.50
10.81;8.60
10.80;8.70
10.81;8.80
10.82;8.90
10.81;9.00
10.82;9.10
10.82;9.20
10.79;9.30
10.81;9.40
10.80;9.50
10.81;9.60
10.81;9.70
10.82;9.80
10.80;9.90
10.80;10.00
10.81;10.10
10.81;10.20
10.81;10.30
10.80;10.40
10.80;10.50
10.81;10.60
10.80;10.70
10.80;10.80
10.80;10.90
10.79;11.00
10.81;11.10
10.77;11.20
10.79;11.30
10.80;11.40
10.78;11.50
10.80;11.60
10.80;11.70
10.79;11.80
10.80;11.90
10.78;12.00
10.79;12.10
10.79;12.20
10.80;12.30
10.80;12.40
10.79;12.50
10.78;12.60
10.77;12.70
10.79;12.80
10.80;12.90
10.78;13.00
10.78;13.10
10.79;13.20
10.78;13.30
10.76;13.40
10.79;13.50
10.77;13.60
10.77;13.70
10.79;13.80
10.78;13.90
10.77;14.00
10.77;14.10
10.78;14.20
10.77;14.30
10.77;14.40
10.76;14.50
10.76;14.60
10.77;14.70
10.77;14.80
10.77;14.90
10.77;15.00
10.77;15.10
10.76;15.20
10.77;15.30
10.77;15.40
10.72;15.50
10.77;15.60
10.76;15.70
10.77;15.80
10.75;15.90
