10.83;2.50
10.84;5.00
10.82;7.50
10.80;10.00
10.79;12.50
10.77;15.00
10.74;17.50
10.71;20.00
10.67;22.50
10.63;25.00
10.58;27.50
10.52;30.00
10.44;32.50
10.35;35.00
10.28;37.50
10.19;40.00
10.10;42.50
9.93;45.00
9.72;47.50
9.37;50.00
8.88;52.50
8.11;55.00
6.73;57.50
4.14;60.00
3.43;62.50
3.00;65.00
2.51;67.50
2.23;70.00
1.99;72.50
1.80;75.00
1.66;77.50
1.54;80.00
1.44;82.50
1.38;85.00
1.29;87.50
1.22;90.00
1.17;92.50
1.12;95.00
1.08;97.50
1.03;100.00
1.00;102.50
0.96;105.00
0.95;107.50
0.89;110.00
0.88;112.50
0.86;115.00
0.83;117.50
0.81;120.00
0.80;122.50
0.78;125.00
0.75;127.50
0.74;130.00
0.73;132.50
0.72;135.00
0.65;137.50
0.68;140.00
0.67;142.50
0.67;145.00
0.65;147.50
0.65;150.00
0.63;152.50
0.63;155.00
0.62;157.50
0.62;160.00
0.61;162.50
0.60;165.00
0.59;167.50
0.59;170.00
0.57;172.50
0.56;175.00
0.57;177.50
0.57;180.00
0.56;182.50
0.56;185.00
0.55;187.50
0.55;190.00
0.53;192.50
0.53;195.00
0.52;197.50
0.52;200.00
