  26.500         37.56	    18.385
  26.525         34.33	    17.578
  26.550         39.33	    18.815
  26.575         34.89	    17.720
  26.600         39.67	    18.894
  26.625         39.56	    18.868
  26.650         36.44	    18.111
  26.675         39.00	    18.735
  26.700         40.44	    19.079
  26.725         38.22	    18.547
  26.750         39.56	    18.868
  26.775         41.11	    19.235
  26.800         44.11	    19.925
  26.825         39.89	    18.947
  26.850         43.78	    19.849
  26.875         44.22	    19.950
  26.900         51.56	    21.541
  26.925         49.67	    21.142
  26.950         43.78	    19.849
  26.975         45.89	    20.322
  27.000         50.11	    21.237
  27.025         51.22	    21.471
  27.050         50.11	    21.237
  27.075         53.67	    21.977
  27.100         58.67	    22.978
  27.125         61.67	    23.558
  27.150         71.00	    25.278
  27.175         81.89	    27.148
  27.200         91.22	    28.653
  27.225        134.33	    34.771
  27.250        176.44	    39.850
  27.275        174.00	    39.573
  27.300        221.67	    44.665
  27.325        296.44	    51.653
  27.350        458.67	    64.250
  27.375        661.44	    77.156
  27.400        794.11	    84.540
  27.425       1188.44	   103.421
  27.450       1793.00	   127.031
  27.475       2555.67	   151.661
  27.500       2683.89	   155.419
  27.525       3282.89	   171.889
  27.550       3166.00	   168.802
  27.575       2776.67	   158.082
  27.600       2150.67	   139.126
  27.625       1534.33	   117.512
  27.650       1012.11	    95.441
  27.675        580.44	    72.277
  27.700        338.11	    55.163
  27.725        205.67	    43.023
  27.750        153.22	    37.135
  27.775        131.00	    34.337
  27.800        114.11	    32.047
  27.825         94.11	    29.103
  27.850         93.33	    28.983
  27.875         90.11	    28.478
  27.900         82.00	    27.166
  27.925         75.78	    26.115
  27.950         72.78	    25.593
  27.975         69.00	    24.920
  28.000         62.56	    23.728
  28.025         54.11	    22.068
  28.050         50.56	    21.331
  28.075         50.67	    21.354
  28.100         45.89	    20.322
  28.125         45.56	    20.248
  28.150         47.22	    20.616
  28.175         50.00	    21.213
  28.200         47.67	    20.712
  28.225         41.67	    19.365
  28.250         40.22	    19.026
  28.275         40.11	    19.000
  28.300         44.00	    19.900
  28.325         38.33	    18.574
  28.350         43.89	    19.875
  28.375         38.44	    18.601
  28.400         35.44	    17.861
  28.425         39.00	    18.735
  28.450         41.00	    19.209
  28.475         35.00	    17.748
  28.500         38.56	    18.628
  28.525         37.33	    18.330
  28.550         36.89	    18.221
  28.575         34.44	    17.607
  28.600         32.67	    17.146
  28.625         35.33	    17.833
  28.650         37.33	    18.330
  28.675         31.89	    16.941
  28.700         30.67	    16.613
  28.725         29.89	    16.401
  28.750         32.44	    17.088
  28.775         37.00	    18.248
  28.800         28.11	    15.906
  28.825         32.89	    17.205
  28.850         34.33	    17.578
  28.875         33.78	    17.436
  28.900         34.00	    17.493
  28.925         34.22	    17.550
  28.950         32.89	    17.205
  28.975         30.00	    16.432
  29.000         32.78	    17.176
  29.025         28.56	    16.031
  29.050         31.11	    16.733
  29.075         27.78	    15.811
  29.100         29.78	    16.371
  29.125         31.11	    16.733
  29.150         33.44	    17.349
  29.175         31.44	    16.823
  29.200         29.11	    16.186
  29.225         30.00	    16.432
  29.250         33.00	    17.234
  29.275         31.78	    16.912
  29.300         28.22	    15.937
  29.325         29.67	    16.340
  29.350         30.56	    16.583
  29.375         28.44	    16.000
  29.400         29.78	    16.371
  29.425         28.44	    16.000
  29.450         32.44	    17.088
  29.475         29.44	    16.279
  29.500         31.11	    16.733
  29.525         30.22	    16.492
  29.550         31.67	    16.882
  29.575         27.89	    15.843
  29.600         27.56	    15.748
  29.625         29.11	    16.186
  29.650         28.67	    16.062
  29.675         28.56	    16.031
  29.700         29.89	    16.401
  29.725         28.56	    16.031
  29.750         28.00	    15.875
  29.775         27.33	    15.684
  29.800         28.33	    15.969
  29.825         28.44	    16.000
  29.850         28.33	    15.969
  29.875         28.56	    16.031
  29.900         30.56	    16.583
  29.925         27.11	    15.620
  29.950         26.44	    15.427
  29.975         28.67	    16.062
  30.000         28.56	    16.031
  30.025         27.56	    15.748
  30.050         27.89	    15.843
  30.075         30.11	    16.462
  30.100         26.22	    15.362
  30.125         27.78	    15.811
  30.150         28.22	    15.937
  30.175         30.11	    16.462
  30.200         27.00	    15.588
  30.225         27.78	    15.811
  30.250         27.89	    15.843
  30.275         24.11	    14.731
  30.300         26.44	    15.427
  30.325         27.33	    15.684
  30.350         25.89	    15.264
  30.375         26.56	    15.460
  30.400         28.22	    15.937
  30.425         30.33	    16.523
  30.450         27.00	    15.588
  30.475         28.22	    15.937
  30.500         25.44	    15.133
  30.525         27.78	    15.811
  30.550         27.56	    15.748
  30.575         26.67	    15.492
  30.600         24.67	    14.900
  30.625         27.56	    15.748
  30.650         26.67	    15.492
  30.675         23.78	    14.629
  30.700         29.00	    16.155
  30.725         25.44	    15.133
  30.750         25.44	    15.133
  30.775         26.11	    15.330
  30.800         25.89	    15.264
  30.825         26.33	    15.395
  30.850         24.22	    14.765
  30.875         27.22	    15.652
  30.900         22.11	    14.107
  30.925         28.00	    15.875
  30.950         25.78	    15.232
  30.975         27.78	    15.811
  31.000         25.89	    15.264
  31.025         28.67	    16.062
  31.050         26.78	    15.524
  31.075         25.78	    15.232
  31.100         26.44	    15.427
  31.125         25.44	    15.133
  31.150         25.67	    15.199
  31.175         24.11	    14.731
  31.200         24.00	    14.697
  31.225         20.56	    13.601
  31.250         27.00	    15.588
  31.275         27.89	    15.843
  31.300         25.44	    15.133
  31.325         26.56	    15.460
  31.350         23.44	    14.526
  31.375         25.78	    15.232
  31.400         23.33	    14.491
  31.425         26.56	    15.460
  31.450         24.22	    14.765
  31.475         27.11	    15.620
  31.500         24.67	    14.900
  31.525         24.22	    14.765
  31.550         25.44	    15.133
  31.575         25.67	    15.199
  31.600         26.22	    15.362
  31.625         28.11	    15.906
  31.650         25.22	    15.067
  31.675         24.22	    14.765
  31.700         26.11	    15.330
  31.725         25.44	    15.133
  31.750         24.11	    14.731
  31.775         25.11	    15.033
  31.800         26.22	    15.362
  31.825         27.00	    15.588
  31.850         23.22	    14.457
  31.875         26.89	    15.556
  31.900         27.11	    15.620
  31.925         24.33	    14.799
  31.950         22.22	    14.142
  31.975         25.11	    15.033
  32.000         27.33	    15.684
  32.025         22.56	    14.248
  32.050         21.33	    13.856
  32.075         25.89	    15.264
  32.100         22.78	    14.318
  32.125         22.33	    14.177
  32.150         22.67	    14.283
  32.175         22.78	    14.318
  32.200         27.11	    15.620
  32.225         24.78	    14.933
  32.250         25.89	    15.264
  32.275         23.89	    14.663
  32.300         20.78	    13.675
  32.325         25.67	    15.199
  32.350         26.56	    15.460
  32.375         23.00	    14.387
  32.400         21.67	    13.964
  32.425         23.00	    14.387
  32.450         23.56	    14.560
  32.475         24.11	    14.731
  32.500         26.56	    15.460
  32.525         24.67	    14.900
  32.550         22.89	    14.353
  32.575         22.89	    14.353
  32.600         24.11	    14.731
  32.625         24.44	    14.832
  32.650         24.44	    14.832
  32.675         21.89	    14.036
  32.700         22.00	    14.071
  32.725         24.67	    14.900
  32.750         26.11	    15.330
  32.775         20.78	    13.675
  32.800         19.00	    13.077
  32.825         22.33	    14.177
  32.850         24.89	    14.967
  32.875         20.89	    13.711
  32.900         22.22	    14.142
  32.925         22.44	    14.213
  32.950         20.89	    13.711
  32.975         24.33	    14.799
  33.000         24.89	    14.967
  33.025         24.00	    14.697
  33.050         21.78	    14.000
  33.075         24.33	    14.799
  33.100         23.67	    14.595
  33.125         22.33	    14.177
  33.150         23.44	    14.526
  33.175         23.11	    14.422
  33.200         25.11	    15.033
  33.225         20.67	    13.638
  33.250         19.00	    13.077
  33.275         25.22	    15.067
  33.300         22.33	    14.177
  33.325         20.44	    13.565
  33.350         21.33	    13.856
  33.375         20.44	    13.565
  33.400         21.67	    13.964
  33.425         22.00	    14.071
  33.450         22.78	    14.318
  33.475         20.44	    13.565
  33.500         19.89	    13.379
  33.525         21.22	    13.820
  33.550         18.67	    12.961
  33.575         22.11	    14.107
  33.600         23.89	    14.663
  33.625         23.00	    14.387
  33.650         22.33	    14.177
  33.675         23.67	    14.595
  33.700         21.11	    13.784
  33.725         22.33	    14.177
  33.750         21.33	    13.856
  33.775         22.00	    14.071
  33.800         21.67	    13.964
  33.825         20.78	    13.675
  33.850         21.44	    13.892
  33.875         21.00	    13.748
  33.900         24.67	    14.900
  33.925         20.56	    13.601
  33.950         25.44	    15.133
  33.975         23.44	    14.526
  34.000         23.78	    14.629
  34.025         21.56	    13.928
  34.050         18.56	    12.923
  34.075         22.11	    14.107
  34.100         23.78	    14.629
  34.125         20.78	    13.675
  34.150         21.22	    13.820
  34.175         21.22	    13.820
  34.200         24.67	    14.900
  34.225         19.00	    13.077
  34.250         20.44	    13.565
  34.275         21.78	    14.000
  34.300         19.22	    13.153
  34.325         20.33	    13.528
  34.350         19.89	    13.379
  34.375         19.67	    13.304
