  27.000        124.56	    33.481
  27.025        184.00	    40.694
  27.050        295.44	    51.565
  27.075        238.78	    46.357
  27.100        311.33	    52.934
  27.125        322.11	    53.842
  27.150        404.67	    60.349
  27.175        991.56	    94.467
  27.200       2075.11	   136.660
  27.225       2155.33	   139.277
  27.250       3249.44	   171.012
  27.275       1527.00	   117.231
  27.300       1548.89	   118.068
  27.325       1165.33	   102.411
  27.350        273.56	    49.619
  27.375        131.33	    34.380
  27.400         98.67	    29.799
  27.425         74.78	    25.942
  27.450         67.44	    24.637
  27.475         61.56	    23.537
  27.500         54.33	    22.113
  27.525         51.56	    21.541
  27.550         55.44	    22.338
  27.575         47.11	    20.591
  27.600         47.78	    20.736
  27.625         43.11	    19.698
  27.650         42.22	    19.494
  27.675         42.33	    19.519
  27.700         41.78	    19.391
  27.725         39.00	    18.735
  27.750         41.00	    19.209
  27.775         38.89	    18.708
  27.800         38.56	    18.628
  27.825         34.56	    17.635
  27.850         35.78	    17.944
  27.875         37.67	    18.412
  27.900         33.89	    17.464
  27.925         39.67	    18.894
  27.950         35.22	    17.804
  27.975         34.44	    17.607
  28.000         32.22	    17.029
  28.025         35.00	    17.748
  28.050         30.78	    16.643
  28.075         32.89	    17.205
  28.100         31.33	    16.793
  28.125         31.56	    16.852
  28.150         29.78	    16.371
  28.175         30.67	    16.613
  28.200         32.33	    17.059
  28.225         31.56	    16.852
  28.250         31.67	    16.882
  28.275         32.56	    17.117
  28.300         30.22	    16.492
  28.325         31.11	    16.733
  28.350         28.22	    15.937
  28.375         28.00	    15.875
  28.400         35.56	    17.889
  28.425         28.89	    16.125
  28.450         27.56	    15.748
  28.475         33.22	    17.292
  28.500         31.11	    16.733
  28.525         33.00	    17.234
  28.550         29.89	    16.401
  28.575         29.44	    16.279
  28.600         29.33	    16.248
  28.625         27.33	    15.684
  28.650         28.89	    16.125
  28.675         28.33	    15.969
  28.700         28.67	    16.062
  28.725         24.44	    14.832
  28.750         27.22	    15.652
  28.775         25.89	    15.264
  28.800         27.33	    15.684
  28.825         27.44	    15.716
  28.850         28.22	    15.937
  28.875         26.33	    15.395
  28.900         25.56	    15.166
  28.925         28.22	    15.937
  28.950         27.22	    15.652
  28.975         24.11	    14.731
  29.000         26.00	    15.297
  29.025         28.11	    15.906
  29.050         26.33	    15.395
  29.075         27.00	    15.588
  29.100         27.56	    15.748
  29.125         27.11	    15.620
  29.150         26.00	    15.297
  29.175         25.56	    15.166
  29.200         29.89	    16.401
  29.225         25.00	    15.000
  29.250         27.00	    15.588
  29.275         27.00	    15.588
  29.300         27.00	    15.588
  29.325         28.11	    15.906
  29.350         27.56	    15.748
  29.375         28.22	    15.937
  29.400         26.22	    15.362
  29.425         27.11	    15.620
  29.450         25.78	    15.232
  29.475         26.78	    15.524
  29.500         29.22	    16.217
  29.525         26.67	    15.492
  29.550         26.00	    15.297
  29.575         25.11	    15.033
  29.600         25.89	    15.264
  29.625         28.56	    16.031
  29.650         24.67	    14.900
  29.675         24.22	    14.765
  29.700         26.33	    15.395
  29.725         24.44	    14.832
  29.750         26.11	    15.330
  29.775         22.33	    14.177
  29.800         24.78	    14.933
  29.825         22.78	    14.318
  29.850         25.22	    15.067
  29.875         25.11	    15.033
  29.900         24.56	    14.866
  29.925         23.33	    14.491
  29.950         24.33	    14.799
  29.975         21.89	    14.036
  30.000         21.00	    13.748
  30.025         24.78	    14.933
  30.050         23.00	    14.387
  30.075         25.78	    15.232
  30.100         24.33	    14.799
  30.125         25.89	    15.264
  30.150         24.56	    14.866
  30.175         22.89	    14.353
  30.200         25.22	    15.067
  30.225         25.22	    15.067
  30.250         23.00	    14.387
  30.275         22.89	    14.353
  30.300         22.11	    14.107
  30.325         24.89	    14.967
  30.350         21.67	    13.964
  30.375         22.11	    14.107
  30.400         23.67	    14.595
  30.425         21.33	    13.856
  30.450         24.44	    14.832
  30.475         24.44	    14.832
  30.500         24.44	    14.832
  30.525         20.22	    13.491
  30.550         24.11	    14.731
  30.575         26.00	    15.297
  30.600         24.00	    14.697
  30.625         23.00	    14.387
  30.650         22.22	    14.142
  30.675         23.11	    14.422
  30.700         24.44	    14.832
  30.725         23.89	    14.663
  30.750         22.89	    14.353
  30.775         27.00	    15.588
  30.800         26.22	    15.362
  30.825         23.11	    14.422
  30.850         24.67	    14.900
  30.875         23.33	    14.491
  30.900         25.00	    15.000
  30.925         25.89	    15.264
  30.950         23.67	    14.595
  30.975         22.22	    14.142
  31.000         24.22	    14.765
  31.025         23.67	    14.595
  31.050         20.89	    13.711
  31.075         22.89	    14.353
  31.100         27.44	    15.716
  31.125         21.89	    14.036
  31.150         21.33	    13.856
  31.175         24.44	    14.832
  31.200         23.78	    14.629
  31.225         22.00	    14.071
  31.250         25.56	    15.166
  31.275         21.33	    13.856
  31.300         26.67	    15.492
  31.325         25.78	    15.232
  31.350         29.33	    16.248
  31.375         26.89	    15.556
  31.400         31.33	    16.793
  31.425         27.22	    15.652
  31.450         28.44	    16.000
  31.475         34.78	    17.692
  31.500         34.67	    17.664
  31.525         42.33	    19.519
  31.550         39.89	    18.947
  31.575         40.56	    19.105
  31.600         34.56	    17.635
  31.625         39.33	    18.815
  31.650         35.00	    17.748
  31.675         30.89	    16.673
  31.700         31.11	    16.733
  31.725         27.67	    15.780
  31.750         30.33	    16.523
  31.775         30.89	    16.673
  31.800         30.11	    16.462
  31.825         27.11	    15.620
  31.850         29.67	    16.340
  31.875         28.33	    15.969
  31.900         27.11	    15.620
  31.925         23.78	    14.629
  31.950         26.22	    15.362
  31.975         25.56	    15.166
  32.000         27.22	    15.652
  32.025         26.44	    15.427
  32.050         22.78	    14.318
  32.075         23.78	    14.629
  32.100         24.67	    14.900
  32.125         23.67	    14.595
  32.150         26.00	    15.297
  32.175         23.89	    14.663
  32.200         23.11	    14.422
  32.225         24.44	    14.832
  32.250         23.33	    14.491
  32.275         20.33	    13.528
  32.300         23.00	    14.387
  32.325         21.56	    13.928
  32.350         22.33	    14.177
  32.375         22.78	    14.318
  32.400         23.67	    14.595
  32.425         24.11	    14.731
  32.450         20.89	    13.711
  32.475         21.67	    13.964
  32.500         24.22	    14.765
  32.525         22.78	    14.318
  32.550         23.44	    14.526
  32.575         21.67	    13.964
  32.600         18.22	    12.806
  32.625         20.00	    13.416
  32.650         20.00	    13.416
  32.675         21.33	    13.856
  32.700         21.33	    13.856
  32.725         23.11	    14.422
  32.750         21.11	    13.784
  32.775         22.00	    14.071
  32.800         22.78	    14.318
  32.825         22.78	    14.318
  32.850         21.22	    13.820
  32.875         19.00	    13.077
  32.900         21.89	    14.036
  32.925         21.11	    13.784
  32.950         19.78	    13.342
  32.975         23.22	    14.457
  33.000         19.67	    13.304
  33.025         21.56	    13.928
  33.050         20.44	    13.565
  33.075         20.00	    13.416
  33.100         20.67	    13.638
  33.125         20.33	    13.528
  33.150         19.22	    13.153
  33.175         18.56	    12.923
  33.200         22.33	    14.177
  33.225         18.78	    13.000
  33.250         22.33	    14.177
  33.275         20.11	    13.454
  33.300         19.22	    13.153
  33.325         17.11	    12.410
  33.350         22.67	    14.283
  33.375         21.22	    13.820
  33.400         22.11	    14.107
  33.425         21.78	    14.000
  33.450         22.89	    14.353
  33.475         20.44	    13.565
  33.500         18.78	    13.000
  33.525         19.33	    13.191
  33.550         21.78	    14.000
  33.575         20.78	    13.675
  33.600         21.22	    13.820
  33.625         19.56	    13.266
  33.650         16.44	    12.166
  33.675         17.33	    12.490
  33.700         20.33	    13.528
  33.725         22.89	    14.353
  33.750         21.78	    14.000
  33.775         22.22	    14.142
  33.800         18.78	    13.000
  33.825         22.11	    14.107
  33.850         18.22	    12.806
  33.875         22.44	    14.213
  33.900         20.00	    13.416
  33.925         22.78	    14.318
  33.950         21.44	    13.892
  33.975         22.56	    14.248
  34.000         21.22	    13.820
  34.025         19.11	    13.115
  34.050         22.89	    14.353
  34.075         19.22	    13.153
  34.100         22.67	    14.283
  34.125         21.89	    14.036
  34.150         23.67	    14.595
  34.175         23.56	    14.560
  34.200         23.00	    14.387
  34.225         23.56	    14.560
  34.250         21.56	    13.928
  34.275         25.67	    15.199
  34.300         25.11	    15.033
  34.325         23.56	    14.560
  34.350         22.44	    14.213
  34.375         22.11	    14.107
  34.400         24.00	    14.697
  34.425         24.89	    14.967
  34.450         24.00	    14.697
  34.475         22.78	    14.318
  34.500         25.89	    15.264
  34.525         22.56	    14.248
  34.550         23.67	    14.595
  34.575         22.78	    14.318
  34.600         20.89	    13.711
  34.625         22.67	    14.283
  34.650         22.67	    14.283
  34.675         20.22	    13.491
  34.700         22.22	    14.142
  34.725         16.22	    12.083
  34.750         23.89	    14.663
  34.775         18.67	    12.961
  34.800         20.33	    13.528
  34.825         20.33	    13.528
  34.850         22.56	    14.248
  34.875         17.78	    12.649
  34.900         19.33	    13.191
  34.925         20.78	    13.675
  34.950         21.22	    13.820
  34.975         19.22	    13.153
  35.000         17.78	    12.649
  35.025         18.67	    12.961
  35.050         17.78	    12.649
  35.075         18.78	    13.000
  35.100         18.67	    12.961
  35.125         20.67	    13.638
  35.150         19.67	    13.304
  35.175         17.00	    12.369
  35.200         17.44	    12.530
  35.225         17.22	    12.450
  35.250         18.44	    12.884
  35.275         19.44	    13.229
  35.300         18.00	    12.728
  35.325         16.22	    12.083
  35.350         21.22	    13.820
  35.375         18.78	    13.000
  35.400         19.11	    13.115
  35.425         18.33	    12.845
  35.450         19.89	    13.379
  35.475         20.78	    13.675
  35.500         22.11	    14.107
  35.525         19.33	    13.191
  35.550         19.22	    13.153
  35.575         20.11	    13.454
  35.600         19.56	    13.266
  35.625         20.67	    13.638
  35.650         20.78	    13.675
  35.675         21.11	    13.784
  35.700         22.00	    14.071
  35.725         22.00	    14.071
  35.750         21.78	    14.000
  35.775         20.78	    13.675
  35.800         21.44	    13.892
  35.825         19.67	    13.304
  35.850         24.44	    14.832
  35.875         22.78	    14.318
  35.900         24.56	    14.866
  35.925         24.56	    14.866
  35.950         23.33	    14.491
  35.975         25.11	    15.033
  36.000         24.44	    14.832
  36.025         24.89	    14.967
  36.050         24.22	    14.765
  36.075         24.22	    14.765
  36.100         30.78	    16.643
  36.125         29.78	    16.371
  36.150         28.00	    15.875
  36.175         27.78	    15.811
  36.200         32.67	    17.146
  36.225         27.89	    15.843
  36.250         28.22	    15.937
  36.275         26.89	    15.556
  36.300         31.89	    16.941
  36.325         23.11	    14.422
  36.350         23.67	    14.595
  36.375         25.33	    15.100
  36.400         24.22	    14.765
  36.425         23.33	    14.491
  36.450         24.44	    14.832
  36.475         22.00	    14.071
  36.500         22.89	    14.353
  36.525         20.11	    13.454
  36.550         22.56	    14.248
  36.575         22.67	    14.283
  36.600         31.89	    16.941
  36.625         29.22	    16.217
  36.650         20.00	    13.416
  36.675         18.78	    13.000
  36.700         21.67	    13.964
  36.725         19.00	    13.077
  36.750         18.78	    13.000
  36.775         16.78	    12.288
  36.800         19.00	    13.077
  36.825         18.11	    12.767
  36.850         17.56	    12.570
  36.875         19.22	    13.153
  36.900         19.00	    13.077
  36.925         18.67	    12.961
  36.950         18.33	    12.845
  36.975         15.78	    11.916
  37.000         15.78	    11.916
  37.025         16.22	    12.083
  37.050         14.22	    11.314
  37.075         12.78	    10.724
  37.100         16.11	    12.042
  37.125         18.22	    12.806
  37.150         18.22	    12.806
  37.175         18.00	    12.728
  37.200         16.00	    12.000
  37.225         16.00	    12.000
  37.250         16.89	    12.329
  37.275         16.33	    12.124
  37.300         17.11	    12.410
  37.325         16.89	    12.329
  37.350         14.78	    11.533
  37.375         18.44	    12.884
  37.400         17.22	    12.450
  37.425         16.44	    12.166
  37.450         15.44	    11.790
  37.475         15.11	    11.662
  37.500         16.67	    12.247
  37.525         13.89	    11.180
  37.550         16.22	    12.083
  37.575         17.44	    12.530
  37.600         16.67	    12.247
  37.625         15.33	    11.747
  37.650         14.11	    11.269
  37.675         16.44	    12.166
  37.700         15.00	    11.619
  37.725         17.00	    12.369
  37.750         16.78	    12.288
  37.775         13.78	    11.136
  37.800         15.22	    11.705
  37.825         15.89	    11.958
  37.850         15.89	    11.958
  37.875         15.67	    11.874
  37.900         17.89	    12.689
  37.925         14.33	    11.358
  37.950         14.33	    11.358
  37.975         14.56	    11.446
  38.000         15.67	    11.874
  38.025         12.89	    10.770
  38.050         14.67	    11.489
  38.075         16.44	    12.166
  38.100         15.22	    11.705
  38.125         14.33	    11.358
  38.150         14.78	    11.533
  38.175         15.33	    11.747
  38.200         14.33	    11.358
  38.225         12.33	    10.536
  38.250         16.78	    12.288
  38.275         16.67	    12.247
  38.300         17.56	    12.570
  38.325         20.33	    13.528
  38.350         20.56	    13.601
  38.375         20.22	    13.491
  38.400         15.56	    11.832
  38.425         19.44	    13.229
  38.450         16.89	    12.329
  38.475         13.56	    11.045
  38.500         17.56	    12.570
  38.525         15.00	    11.619
  38.550         15.44	    11.790
  38.575         13.67	    11.091
  38.600         15.22	    11.705
  38.625         16.22	    12.083
  38.650         14.11	    11.269
  38.675         17.56	    12.570
  38.700         12.67	    10.677
  38.725         14.00	    11.225
  38.750         14.78	    11.533
  38.775         15.67	    11.874
  38.800         15.67	    11.874
  38.825         15.89	    11.958
  38.850         15.44	    11.790
  38.875         15.33	    11.747
  38.900         13.44	    11.000
  38.925         14.67	    11.489
  38.950         15.89	    11.958
  38.975         15.00	    11.619
  39.000         14.56	    11.446
  39.025         14.22	    11.314
  39.050         14.00	    11.225
  39.075         15.89	    11.958
  39.100         14.89	    11.576
  39.125         16.67	    12.247
  39.150         15.11	    11.662
  39.175         16.44	    12.166
  39.200         16.78	    12.288
  39.225         14.22	    11.314
  39.250         14.89	    11.576
  39.275         12.44	    10.583
  39.300         15.78	    11.916
  39.325         14.11	    11.269
  39.350         14.78	    11.533
  39.375         12.11	    10.440
  39.400         15.00	    11.619
  39.425         13.78	    11.136
  39.450         14.11	    11.269
  39.475         15.44	    11.790
  39.500         14.67	    11.489
  39.525         17.56	    12.570
  39.550         12.89	    10.770
  39.575         15.33	    11.747
  39.600         13.00	    10.817
  39.625         15.89	    11.958
  39.650         13.67	    11.091
  39.675         14.33	    11.358
  39.700         11.89	    10.344
  39.725         13.44	    11.000
  39.750         15.11	    11.662
  39.775         11.00	     9.950
  39.800         13.00	    10.817
  39.825         13.00	    10.817
  39.850         13.11	    10.863
  39.875         12.56	    10.630
  39.900         13.11	    10.863
  39.925         12.56	    10.630
  39.950         13.22	    10.909
  39.975         15.33	    11.747
  40.000         14.78	    11.533
  40.025         12.22	    10.488
  40.050         11.78	    10.296
  40.075         13.89	    11.180
  40.100         11.89	    10.344
  40.125         14.33	    11.358
  40.150         14.44	    11.402
  40.175         12.33	    10.536
  40.200         14.56	    11.446
  40.225         13.22	    10.909
  40.250         12.78	    10.724
  40.275         12.78	    10.724
  40.300         12.11	    10.440
  40.325         15.44	    11.790
  40.350         13.11	    10.863
  40.375         13.67	    11.091
  40.400         13.89	    11.180
  40.425         14.22	    11.314
  40.450         12.44	    10.583
  40.475         13.78	    11.136
  40.500         12.78	    10.724
  40.525         14.67	    11.489
  40.550         14.56	    11.446
  40.575         15.89	    11.958
